,Title,Authors,Format,Date
0,Hostage,Clare Mackintosh,Paperback,23/06/2022
1,Be More Mosquito ,Marc Abraham,Paperback,23/06/2022
2,Grace,Victoria Scott,Hardback,07/07/2022
3,The Murder Book,Mark Billingham,Hardback,09/06/2022
4,The Modern Craft,"Alice Tarbuck, Claire Askew",Paperback,14/06/2022
5,Dark Earth,Rebecca Stott,Hardback,23/06/2022
6,The Country of Others,Leïla Slimani,Paperback,19/05/2022
7,"Gardening for Mind, Body and Soul",Annie Burdick,Hardback,10/02/2022
8,One Last Secret,Adele Parks,Hardback,07/07/2022
9,Nothing Else ,Louise Beech,Paperback,23/06/2022
